ID,Longitude,Latitude,title,type,note,date
,138.91016,35.17233,152,syoukasen,,2014/2/22 0:00
,138.90873,35.17211,153,syoukasen, ,2014/2/22 0:00
,138.90895,35.1716,154,syoukasen,,2014/2/22 0:00
,138.91093,35.17205,155,syoukasen, ,2014/2/22 0:00
,138.9116,35.17253,156,syoukasen,,2014/2/22 0:00
,138.91155,35.17185,157,syoukasen, ,2014/2/22 0:00
,138.91321,35.17187,158,syoukasen,,2014/2/22 0:00
,138.91319,35.17324,159,syoukasen, ,2014/2/22 0:00
,138.915,35.17352,160,syoukasen,,2014/2/22 0:00
,138.91483,35.1727,161,syoukasen, ,2014/2/22 0:00
,138.91533,35.17144,162,syoukasen,,2014/2/22 0:00
,138.91645,35.17347,163,syoukasen, ,2014/2/22 0:00
,138.91614,35.17138,164,syoukasen,,2014/2/22 0:00
,138.91715,35.17164,165,syoukasen, ,2014/2/22 0:00
,138.91767,35.17065,166,syoukasen,,2014/2/22 0:00
,138.92008,35.17095,167,syoukasen, ,2014/2/22 0:00
,138.92176,35.17127,168,syoukasen,,2014/2/22 0:00
,138.91827,35.17334,169,syoukasen, ,2014/2/22 0:00
,138.91724,35.17443,170,syoukasen,,2014/2/22 0:00
,138.92222,35.17443,171,syoukasen, ,2014/2/22 0:00
,138.92293,35.17267,172,syoukasen,,2014/2/22 0:00
,138.92357,35.17189,173,syoukasen, ,2014/2/22 0:00
,138.92686,35.17152,174,syoukasen,,2014/2/22 0:00
,138.92908,35.1716,175,syoukasen, ,2014/2/22 0:00
,138.92452,35.17385,176,syoukasen,,2014/2/22 0:00
,138.92544,35.17437,177,syoukasen, ,2014/2/22 0:00
,138.9247,35.17507,178,syoukasen,,2014/2/22 0:00
,138.92639,35.17526,179,syoukasen, ,2014/2/22 0:00
,138.92802,35.17529,180,syoukasen,,2014/2/22 0:00
,138.93528,35.17338,181,syoukasen, ,2014/2/22 0:00
,138.94,35.1728,182,syoukasen,,2014/2/22 0:00
,138.94921,35.17323,183,syoukasen, ,2014/2/22 0:00
,138.90298,35.17893,184,syoukasen,,2014/2/22 0:00
,138.90371,35.17889,185,syoukasen, ,2014/2/22 0:00
,138.90346,35.17965,186,syoukasen,,2014/2/22 0:00
,138.90465,35.17952,187,syoukasen, ,2014/2/22 0:00
,138.90511,35.17901,188,syoukasen,,2014/2/22 0:00
,138.90605,35.17819,189,syoukasen, ,2014/2/22 0:00
,138.90661,35.17771,190,syoukasen,,2014/2/22 0:00
,138.90756,35.17755,191,syoukasen, ,2014/2/22 0:00
,138.90816,35.17843,192,syoukasen,,2014/2/22 0:00
,138.90817,35.17971,193,syoukasen, ,2014/2/22 0:00
,138.90628,35.17931,194,syoukasen,,2014/2/22 0:00
,138.90632,35.17972,195,syoukasen, ,2014/2/22 0:00
,138.90649,35.18005,196,syoukasen,,2014/2/22 0:00
